H2,C2H2,C2H4,C2H6,CH4,C3H8,TCG,CO,CO2,normality
27,6,33,35,30,20,125,400,2000,1
27,5,34,35,30,20,125,400,2000,1
39,9,54,35,30,20,141,400,2000,1
37,9,96,35,39,20,208,400,2000,1
66,18,133,35,55,25,307,423,2000,1
69,22,151,35,63,31,346,441,2000,1
69,17,157,35,63,32,346,453,2000,1
63,13,193,35,84,40,414,521,2000,1
10,0,13,35,30,20,125,400,2957,1
18,0,12,35,30,21,125,400,3047,1
116,0,13,35,30,20,190,400,4179,1
13,3,9,35,30,20,125,400,2000,1
22,4,13,35,30,20,125,400,2000,1
10,2,8,35,30,20,125,400,2000,1
10,2,8,35,30,20,125,400,2000,1
13,2,12,35,30,20,125,400,2000,1
25,5,20,35,30,20,125,400,2000,1
27,7,30,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
21,4,10,35,30,20,125,400,2000,1
25,6,16,35,30,20,125,400,2000,1
36,7,27,35,30,20,125,400,2000,1
55,9,96,35,50,23,242,411,2000,1
66,12,113,35,61,25,289,441,2000,1
86,17,164,35,90,38,402,513,2000,1
78,15,193,35,106,45,467,558,2000,1
78,15,171,35,96,41,427,528,2000,1
10,0,33,35,237,271,988,400,2000,1
10,0,35,35,189,271,903,406,2000,1
23,0,35,35,196,305,1018,400,2000,1
19,0,35,35,215,315,1049,400,2000,1
13,0,37,35,189,296,1018,400,2000,1
10,0,27,35,96,66,298,400,2000,1
10,0,27,35,117,73,346,406,2000,1
10,0,29,35,146,89,427,411,2000,1
10,0,30,35,151,117,496,411,2000,1
10,0,30,35,172,140,594,400,2000,1
29,0,44,35,166,288,732,435,2156,1
10,0,33,35,189,334,825,400,2913,1
18,0,44,35,166,288,754,400,2000,1
10,0,34,35,196,226,777,400,2000,1
14,0,37,35,146,279,669,400,2000,1
12,0,16,35,113,140,543,400,2000,1
18,0,15,35,120,144,576,400,2000,1
19,0,16,35,128,140,576,400,2000,1
14,0,17,35,120,158,630,400,2000,1
15,0,20,35,124,173,689,400,2000,1
10,0,40,35,202,233,930,400,2000,1
10,0,40,35,209,240,988,400,2000,1
10,0,40,35,209,248,988,400,2000,1
10,0,44,35,202,271,1049,400,2000,1
10,0,42,35,202,271,1049,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
133,12,8,35,30,20,221,423,2000,1
139,14,8,35,30,20,228,400,2000,1
10,0,248,35,137,20,481,400,2000,1
10,0,304,35,202,184,710,400,2061,1
10,0,345,35,230,158,801,400,2000,1
10,0,374,35,245,220,903,441,2000,1
10,0,460,35,288,207,988,506,4117,1
14,0,45,35,113,400,1293,400,2432,1
13,0,44,35,120,400,1333,400,2124,1
10,0,47,35,124,400,1373,400,2583,1
10,0,44,35,128,400,1458,400,2000,1
11,0,44,35,137,400,1458,400,2124,1
180,0,44,35,202,201,1018,400,5316,1
305,0,42,35,245,213,1218,400,5562,1
397,0,42,35,245,207,1333,400,5732,1
333,0,47,35,270,226,1373,400,5996,1
348,0,42,35,253,207,1293,400,5479,1
133,34,500,35,262,178,1458,400,4179,1
111,28,500,35,262,168,1415,400,4714,1
116,23,500,35,253,173,1415,400,3935,1
122,28,500,35,279,178,1548,400,5006,1
86,30,500,35,245,163,1333,400,4055,1
800,1,66,35,223,34,1458,400,6179,1
800,0,72,35,223,33,1218,400,6969,1
800,1,63,35,215,32,1333,400,5646,1
800,1,75,35,223,32,1255,400,7075,1
733,1,63,35,209,34,1113,400,6662,1
10,0,18,35,189,305,732,590,3762,1
10,0,19,35,166,366,850,400,2000,1
10,0,20,35,209,355,850,400,2000,1
10,0,30,35,230,377,959,746,3489,1
10,0,19,35,166,355,825,400,2325,1
11,0,20,35,189,168,732,400,3489,1
10,0,17,35,183,207,825,400,5907,1
10,0,18,35,196,263,959,400,5006,1
10,0,19,35,196,288,1049,400,6368,1
10,0,19,35,209,296,1081,400,5996,1
29,0,14,35,133,263,594,400,3877,1
10,0,11,35,99,233,511,400,2000,1
10,0,14,35,120,324,649,400,2000,1
10,0,16,35,151,315,689,400,3437,1
31,0,16,35,156,315,710,400,2290,1
10,0,27,35,166,240,576,400,2000,1
10,0,22,35,156,263,649,400,2000,1
10,0,40,35,156,248,689,400,3437,1
10,0,40,35,156,248,689,400,3437,1
10,1,24,35,106,184,649,400,2000,1
10,0,8,35,30,20,125,726,2827,1
10,0,9,35,30,20,125,632,3762,1
10,0,11,35,30,20,125,535,2000,1
10,0,20,35,30,20,125,687,2869,1
10,0,34,35,30,400,559,869,2000,1
10,0,8,35,30,20,125,558,2156,1
10,0,8,35,30,20,125,789,2000,1
10,0,9,35,30,20,125,1041,3935,1
10,0,12,35,30,20,125,1600,3706,1
15,0,15,35,30,20,125,1070,3002,1
10,0,39,35,288,20,801,506,2743,1
10,0,35,35,279,377,1018,400,2000,1
10,0,40,35,253,388,1049,400,2827,1
10,0,40,35,279,271,988,400,2000,1
14,0,31,35,82,288,612,400,2124,1
72,0,42,35,61,20,202,453,2396,1
36,27,47,35,52,20,169,400,2000,1
41,43,54,35,57,20,208,582,2000,1
31,20,49,35,52,20,159,535,2000,1
46,23,51,35,54,20,190,543,2000,1
151,4,500,35,425,20,1113,400,2000,1
107,3,500,35,373,20,1049,400,2000,1
10,0,15,35,30,20,125,400,2000,1
165,6,500,35,626,400,1909,400,2000,1
235,10,500,35,760,400,2426,400,2000,1
53,0,500,35,339,20,903,400,2000,1
10,0,424,35,398,324,988,400,2000,1
10,0,292,35,279,296,801,400,2325,1
800,8,500,35,760,400,2500,400,2000,1
800,8,500,35,760,400,2500,400,2000,1
10,0,500,35,202,136,959,400,2000,1
10,0,480,35,209,132,959,400,2000,1
10,0,500,35,202,140,959,400,2000,1
10,0,500,35,215,140,1081,400,2000,1
10,0,500,35,230,144,1081,400,2000,1
10,0,39,35,172,400,1049,400,2000,1
12,0,40,35,245,388,1081,400,2000,1
10,0,8,35,30,35,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,90,8,35,99,132,2500,400,2000,1
10,0,8,35,30,20,125,447,2000,1
10,0,11,35,30,20,125,479,2000,1
10,0,13,35,30,20,125,459,2000,1
10,0,22,35,30,20,125,528,2000,1
10,0,39,35,30,20,125,521,2325,1
10,0,13,35,177,117,576,400,2000,1
10,0,12,35,230,136,689,400,2000,1
10,0,14,35,230,144,732,400,2000,1
10,0,19,35,209,173,850,400,2000,1
10,0,23,35,237,195,959,400,2000,1
10,0,8,35,30,41,125,659,3489,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,59,20,125,400,2000,1
10,0,8,35,74,20,169,400,3140,1
235,90,269,35,209,101,1018,400,4243,1
10,0,10,35,109,82,414,400,2000,1
10,0,9,35,109,87,402,400,2000,1
10,0,10,35,124,101,453,400,2000,1
10,0,12,35,128,114,543,400,2000,1
10,0,13,35,128,121,576,400,2000,1
10,0,9,35,30,20,125,400,2000,1
10,0,18,35,30,20,125,400,3335,1
10,0,9,35,30,220,208,400,2000,1
10,0,19,35,38,20,125,945,2957,1
10,0,16,35,77,305,594,400,2000,1
23,9,228,35,49,30,390,400,2000,1
10,7,178,35,30,26,289,400,2000,1
33,8,304,35,57,33,481,400,2000,1
33,10,219,35,52,30,402,400,2000,1
33,11,238,35,50,29,414,400,2000,1
20,0,8,35,30,20,125,400,2000,1
27,0,8,35,30,20,125,400,2000,1
37,0,8,35,30,20,125,400,2000,1
86,0,8,35,30,39,234,400,2000,1
78,0,8,35,40,98,440,400,2000,1
10,41,49,35,50,20,221,598,2000,1
24,2,47,35,38,20,150,400,2000,1
26,36,20,35,30,20,179,499,2469,1
36,38,44,35,54,20,234,985,2784,1
10,13,30,35,47,20,174,757,2000,1
21,0,13,35,84,87,390,400,2000,1
11,0,13,35,84,101,414,400,2000,1
10,0,12,35,65,104,402,400,2000,1
10,0,11,35,70,98,414,400,2000,1
10,0,14,35,82,95,414,400,2000,1
10,1,15,35,30,20,125,400,2000,1
51,6,22,35,77,20,316,400,3140,1
93,32,56,35,30,288,559,400,3542,1
86,34,81,35,102,400,876,400,9000,1
10,66,78,35,124,248,669,400,2000,1
10,0,14,35,156,20,414,472,7291,1
10,0,8,35,77,20,298,400,2360,1
10,0,14,35,189,20,732,400,4438,1
10,0,20,35,307,20,1081,429,3877,1
10,0,31,35,425,20,1548,486,4574,1
78,0,34,35,350,400,1415,459,2000,1
10,0,42,35,350,400,1458,400,2000,1
10,0,34,35,350,400,1502,400,2000,1
10,0,34,35,339,400,1458,400,2000,1
10,0,20,35,166,400,1113,400,2000,1
10,0,18,35,177,240,612,400,2000,1
10,0,18,35,209,240,630,894,5397,1
10,0,18,35,209,20,527,834,2000,1
10,0,16,35,253,255,612,687,2061,1
10,0,16,35,270,255,669,846,2360,1
24,0,108,35,63,35,249,400,2000,1
39,0,171,35,99,61,402,400,2000,1
53,1,345,35,161,107,710,400,2000,1
58,1,292,35,137,87,612,400,2000,1
39,1,304,35,156,110,669,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,63,35,41,24,154,400,2000,1
10,0,113,35,67,45,264,400,2000,1
12,0,151,35,96,61,379,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
89,2,500,35,262,158,1113,400,2000,1
122,3,500,35,339,207,1458,400,2000,1
20,0,104,35,54,29,221,400,2000,1
16,0,133,35,72,48,289,400,2000,1
10,0,33,35,30,20,125,400,2000,1
10,0,118,35,65,46,272,400,2000,1
58,1,500,35,350,220,1415,400,2000,1
151,0,16,35,113,95,346,985,4117,1
158,0,15,35,124,62,346,1472,7182,1
173,0,16,35,93,95,357,1147,3140,1
206,0,12,35,124,51,390,400,8733,1
245,0,15,35,106,153,467,1282,4055,1
10,0,30,35,262,296,1147,429,2156,1
10,0,33,35,230,288,1113,406,2432,1
10,0,28,35,230,296,1113,400,2290,1
10,0,34,35,223,263,1049,400,2030,1
10,0,35,35,253,271,1113,417,2000,1
10,0,13,35,245,271,1081,400,2000,1
10,0,15,35,270,288,1182,400,2030,1
10,0,15,35,262,279,1182,400,2000,1
10,0,13,35,262,296,1147,400,2000,1
10,0,14,35,288,305,1218,400,2092,1
78,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
516,0,15,35,133,117,689,400,3002,1
589,0,9,35,106,64,689,400,2000,1
494,0,11,35,99,84,630,400,2000,1
473,0,8,35,57,20,543,400,2000,1
615,0,8,35,63,20,710,400,2000,1
800,0,8,35,79,20,959,400,2000,1
589,0,8,35,77,20,710,400,2000,1
615,0,8,35,82,20,732,400,2189,1
111,0,8,35,30,20,164,558,2000,1
58,0,8,35,30,20,125,400,2000,1
800,0,34,35,70,82,850,706,2743,1
671,0,51,35,93,153,825,767,4931,1
800,0,47,35,96,87,1182,999,3140,1
10,0,8,35,30,20,125,400,2030,1
36,0,8,35,30,20,125,400,3335,1
12,1,8,35,30,20,125,400,3819,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,23,35,128,20,594,400,2000,1
10,0,8,35,172,20,208,400,3002,1
10,0,29,35,33,20,594,566,2432,1
10,0,34,35,30,20,669,590,2583,1
10,0,42,35,202,355,1255,400,2000,1
17,0,25,35,46,48,221,400,2000,1
165,0,35,35,40,49,368,400,2030,1
98,1,500,35,361,233,1548,435,2000,1
133,0,500,35,373,271,1694,423,2000,1
69,0,500,35,361,240,1548,406,2000,1
10,0,30,35,70,220,481,400,2000,1
10,0,8,35,30,128,141,400,2000,1
72,0,8,35,30,20,125,400,2000,1
24,0,37,35,117,324,777,479,2469,1
27,0,44,35,120,315,777,486,2189,1
10,0,123,35,237,207,1018,400,2000,1
10,0,123,35,237,240,1081,400,2000,1
10,0,113,35,237,220,1018,400,2000,1
10,0,118,35,237,226,1018,400,2000,1
10,0,113,35,245,248,1113,400,2000,1
10,0,8,35,49,20,164,400,2000,1
10,0,16,35,128,20,440,400,2000,1
10,0,19,35,33,20,402,400,2622,1
10,0,20,35,30,20,440,400,2222,1
10,0,37,35,237,271,1113,400,2000,1
10,0,84,35,172,178,777,400,2000,1
10,0,88,35,189,189,850,400,2000,1
10,0,96,35,196,195,850,400,2000,1
10,0,88,35,172,189,825,400,2000,1
10,0,100,35,202,207,903,400,2000,1
10,0,118,35,223,220,959,400,2000,1
10,0,128,35,262,233,1081,400,2000,1
10,0,133,35,262,240,1081,400,2000,1
10,0,133,35,262,248,1113,400,2000,1
10,0,139,35,262,248,1113,400,2000,1
10,0,108,35,215,240,1018,400,2000,1
10,0,104,35,202,255,1049,400,2000,1
13,0,104,35,215,248,1049,400,2000,1
10,0,104,35,223,255,1049,400,2000,1
10,0,113,35,223,255,1049,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,374,35,142,163,630,400,2000,1
44,0,424,35,161,178,710,400,2000,1
33,0,500,35,189,178,850,400,2000,1
10,0,28,35,113,220,453,590,2030,1
10,0,8,35,30,79,125,400,2000,1
66,0,8,35,30,20,125,400,2000,1
188,0,500,35,760,400,2500,528,3762,1
800,0,500,35,760,400,2500,971,2913,1
36,0,51,35,209,400,1049,687,2913,1
36,0,51,35,209,400,1049,687,2913,1
51,0,8,35,30,20,125,400,2000,1
48,0,58,35,230,400,1182,736,3002,1
34,0,75,35,237,400,1255,834,3047,1
36,0,39,35,82,296,903,400,2000,1
69,0,37,35,93,305,959,400,2000,1
93,0,45,35,109,324,1081,406,2000,1
98,0,40,35,102,334,1081,400,2000,1
86,0,39,35,117,334,1113,423,2000,1
10,0,16,35,90,20,453,400,2000,1
10,0,8,35,120,20,154,400,2784,1
10,0,23,35,35,20,527,400,2325,1
10,0,108,35,30,20,630,400,2662,1
10,0,35,35,166,305,1049,400,2000,1
10,0,29,35,223,220,903,400,2000,1
10,0,27,35,223,233,930,400,2000,1
10,0,44,35,230,255,1018,400,2000,1
10,0,30,35,223,240,930,400,2000,1
10,0,33,35,237,263,1049,400,2000,1
10,0,34,35,196,226,876,400,2000,1
10,0,30,35,202,240,959,400,2000,1
10,0,30,35,230,248,988,400,2000,1
10,0,30,35,237,255,1049,400,2000,1
10,0,29,35,262,279,1147,400,2000,1
10,3,58,35,161,388,1147,400,3140,1
116,4,390,35,550,400,2355,400,3188,1
180,3,500,35,760,400,2500,406,3188,1
31,0,25,35,70,101,272,400,2000,1
453,4,500,35,760,400,2500,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,447,2743,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
46,49,8,35,40,98,234,400,2000,1
10,2,317,35,90,213,689,400,2000,1
10,2,331,35,93,220,710,400,2360,1
10,2,304,35,79,213,649,400,2000,1
10,2,304,35,84,213,669,400,2000,1
10,2,317,35,84,207,669,400,2000,1
10,0,27,35,146,263,903,400,2189,1
10,0,27,35,146,255,850,400,2000,1
10,0,24,35,142,255,876,400,2092,1
10,0,31,35,133,288,988,400,2000,1
10,0,33,35,137,271,1018,400,2061,1
37,0,331,35,183,140,801,400,7514,1
33,1,345,35,215,149,825,400,8733,1
102,3,500,35,339,220,1333,400,9000,1
89,3,500,35,411,226,1548,400,8348,1
82,3,500,35,411,233,1595,400,6969,1
11,0,72,35,36,20,154,400,4931,1
24,0,171,35,109,55,402,400,6465,1
18,0,185,35,106,59,414,400,5732,1
82,2,500,35,373,189,1373,400,9000,1
98,0,500,35,386,207,1644,400,9000,1
10,0,8,35,32,20,125,400,2000,1
145,0,407,35,279,344,1147,574,4574,1
102,2,331,35,215,213,801,400,2000,1
107,1,292,35,189,207,732,400,2000,1
86,1,407,35,279,271,1018,543,2061,1
18,0,151,35,279,324,1333,411,5646,1
11,0,151,35,288,334,1373,429,5907,1
10,0,151,35,279,355,1415,441,6465,1
18,0,145,35,288,366,1458,447,8866,1
78,0,500,35,483,400,2500,479,9000,1
66,0,104,35,202,400,1502,400,2432,1
66,0,96,35,196,400,1458,400,2222,1
63,0,123,35,262,400,1745,459,2124,1
86,0,108,35,223,400,1458,429,2000,1
93,0,108,35,230,400,1502,453,2030,1
36,0,92,35,47,32,234,550,3335,1
27,0,104,35,65,54,298,550,2827,1
27,0,104,35,74,62,326,543,2702,1
23,0,92,35,87,79,379,535,2432,1
158,90,304,35,209,184,1218,499,2702,1
800,0,17,35,587,189,2089,400,2000,1
766,0,16,35,587,189,2027,400,2000,1
643,0,14,35,626,189,1967,400,2000,1
671,0,16,35,647,201,2027,400,2000,1
615,0,15,35,690,220,2089,400,2000,1
14,0,40,35,245,400,1694,400,4179,1
15,0,40,35,253,400,1745,400,4243,1
18,0,56,35,253,400,2027,472,4055,1
21,0,56,35,262,400,2089,417,4307,1
21,0,54,35,245,400,2027,411,4117,1
10,0,11,35,30,38,125,486,7402,1
10,0,15,35,30,44,125,543,8348,1
11,0,22,35,63,55,174,486,7402,1
766,20,500,35,760,400,2500,535,9000,1
800,85,500,35,760,400,2500,435,9000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
15,0,8,35,30,20,125,400,2000,1
53,0,500,35,339,184,1182,400,2000,1
145,0,500,35,760,400,2500,400,2000,1
11,0,54,35,35,20,133,400,2000,1
10,0,63,35,39,23,145,400,2000,1
10,0,78,35,44,21,164,400,2000,1
127,7,500,35,760,400,2500,400,2000,1
173,3,460,35,328,136,1182,400,2000,1
14,0,30,35,177,263,1018,400,2360,1
23,0,27,35,189,240,1018,400,2156,1
15,0,29,35,183,255,1018,400,2000,1
19,0,28,35,196,233,1018,400,2222,1
19,0,28,35,196,248,1049,400,2189,1
24,0,8,35,57,22,169,400,2000,1
30,0,8,35,72,21,185,400,2000,1
29,0,8,35,82,31,228,400,2000,1
800,0,8,35,587,32,2500,400,2000,1
800,0,8,35,606,29,2500,400,2000,1
86,0,8,35,90,110,289,945,3596,1
180,0,8,35,133,101,402,846,2544,1
256,0,8,35,137,45,453,400,7075,1
10,0,8,35,215,124,390,846,2000,1
800,0,8,35,439,128,2500,1163,3002,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,30,20,125,400,2000,1
22,0,8,35,30,20,125,400,2000,1
46,0,8,35,31,51,242,400,2000,1
14,0,9,35,79,132,481,400,2000,1
10,0,8,35,30,20,125,400,2000,1
22,0,8,35,30,20,125,400,2000,1
42,0,8,35,32,52,249,400,2000,1
16,0,8,35,67,136,467,400,2000,1
10,0,8,35,93,149,527,400,2000,1
21,0,8,35,30,20,125,400,2000,1
36,0,8,35,30,52,242,400,2000,1
16,0,13,35,109,158,612,400,2000,1
22,0,13,35,142,184,732,400,2000,1
13,0,16,35,128,201,777,400,2000,1
11,0,8,35,30,20,125,400,2000,1
19,0,8,35,30,20,125,400,2000,1
48,0,10,35,43,52,264,400,2000,1
42,0,11,35,41,46,257,400,2000,1
21,0,16,35,117,158,612,400,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,8,35,61,107,234,400,2000,1
10,0,8,35,30,20,125,400,2000,1
17,0,8,35,65,107,228,400,2000,1
800,0,8,35,468,144,2500,400,2000,1
33,0,40,35,117,44,307,423,2000,1
58,1,113,35,183,98,559,435,2000,1
18,0,13,35,30,40,125,400,2000,1
25,0,14,35,39,40,159,400,2000,1
158,90,104,35,102,68,630,417,2000,1
10,0,30,35,113,114,467,400,2000,1
10,0,24,35,133,121,511,400,2000,1
10,0,22,35,133,124,511,400,2000,1
10,0,20,35,151,124,543,400,2000,1
10,0,22,35,151,136,576,400,2000,1
39,0,15,35,30,35,125,1196,3877,1
41,0,16,35,30,20,125,1147,5159,1
41,0,19,35,30,20,125,598,2000,1
10,0,8,35,30,20,125,400,2000,1
10,0,164,35,74,20,336,400,2000,1
11,0,40,35,156,334,1018,466,2000,1
11,0,37,35,133,305,903,435,2000,1
18,0,42,35,137,324,959,441,2000,1
24,0,39,35,137,315,988,429,2000,1
16,0,44,35,146,334,1049,435,2000,1
10,0,17,35,279,279,1147,400,2189,1
10,0,22,35,288,296,1218,400,2360,1
10,0,22,35,298,315,1293,400,2432,1
10,0,19,35,288,296,1218,400,2290,1
10,0,20,35,307,315,1255,400,2469,1
10,0,14,35,245,263,1049,400,2256,1
10,0,15,35,270,279,1147,400,2583,1
10,0,14,35,237,288,1113,400,2396,1
10,0,14,35,270,288,1147,400,2506,1
10,0,13,35,270,288,1147,400,2544,1
12,0,8,35,30,20,125,400,2000,1
17,0,8,35,30,20,125,400,2000,1
46,0,10,35,55,70,316,400,2000,1
37,0,10,35,54,64,307,400,2000,1
18,0,15,35,128,168,649,417,2000,1
10,0,8,35,30,20,125,400,2000,1
15,0,8,35,30,20,125,400,2000,1
48,0,10,35,49,57,281,400,2000,1
36,0,10,35,44,54,257,400,2000,1
17,0,15,35,106,149,576,417,2000,1
18,0,20,35,183,195,801,400,2000,1
15,0,18,35,177,189,777,400,2000,1
10,0,22,35,172,226,930,400,2000,1
11,0,27,35,183,248,1018,400,2000,1
10,0,27,35,177,240,959,400,2000,1
10,0,11,35,172,124,576,400,2000,1
10,0,12,35,183,136,649,400,2000,1
14,0,12,35,196,153,710,400,2000,1
10,0,13,35,196,184,850,400,2000,1
10,0,17,35,189,189,850,400,2000,1
10,0,13,35,161,75,427,400,2000,1
10,0,13,35,209,92,543,406,2000,1
10,0,15,35,223,107,594,400,2000,1
10,0,19,35,196,128,669,400,2000,1
10,0,24,35,230,149,801,400,2000,1
10,0,14,35,177,84,481,400,2000,1
10,0,13,35,215,104,576,411,2000,1
10,0,15,35,230,117,649,406,2000,1
10,0,20,35,223,144,754,400,2000,1
10,0,25,35,245,163,876,400,2000,1
10,0,12,35,79,51,257,400,2000,1
10,0,15,35,113,95,440,400,2000,1
10,0,15,35,133,98,467,400,2000,1
10,0,15,35,128,104,481,400,2000,1
10,0,31,35,161,101,527,400,2000,1
10,0,12,35,82,54,272,400,2000,1
10,0,19,35,109,117,496,400,2000,1
10,0,15,35,137,107,496,400,2000,1
10,0,14,35,142,110,511,400,2000,1
10,0,17,35,172,114,559,400,2000,1
10,0,8,35,33,20,125,736,4858,1
10,0,8,35,30,20,125,400,2000,1
235,0,8,35,30,20,281,400,3489,1
453,0,8,35,41,20,527,400,3542,1
539,0,8,35,44,20,594,400,3650,1
10,0,123,35,209,233,1049,400,2000,1
11,0,118,35,202,255,1049,400,2000,1
12,0,113,35,209,240,1018,400,2000,1
10,0,118,35,209,248,1018,400,2000,1
16,0,128,35,223,248,1081,400,2000,1
10,0,104,35,209,233,1018,400,2000,1
10,0,104,35,196,248,1018,400,2000,1
11,0,100,35,215,248,1018,400,2000,1
10,0,104,35,209,248,1018,400,2000,1
12,0,108,35,223,263,1049,400,2000,1
63,0,19,35,49,121,453,400,2000,1
63,0,29,35,79,263,825,400,2000,1
72,0,44,35,99,334,1081,400,2000,1
93,0,37,35,99,334,1113,400,2000,1
102,0,34,35,106,334,1113,441,2000,1
69,0,23,35,49,107,414,400,2000,1
89,0,23,35,74,226,754,400,2000,1
102,0,34,35,90,296,988,400,2000,1
122,0,29,35,93,296,988,417,2000,1
111,0,27,35,93,288,988,435,2000,1
10,0,40,35,223,240,930,400,2000,1
10,0,8,35,237,255,959,400,2000,1
10,0,42,35,237,248,988,400,2000,1
10,0,40,35,237,263,1018,400,2000,1
10,0,42,35,230,279,1049,400,2000,1
10,0,19,35,109,220,543,400,2000,1
10,0,23,35,124,305,710,400,2000,1
10,0,25,35,151,315,754,406,3706,1
10,0,25,35,146,263,669,459,3762,1
10,0,22,35,133,288,612,429,2000,1
10,0,16,35,106,226,543,400,2000,1
10,0,20,35,124,263,649,400,2000,1
10,0,23,35,156,271,710,447,3489,1
10,0,22,35,146,263,669,423,3706,1
10,0,20,35,137,296,649,466,2000,1
10,0,18,35,109,233,576,400,2000,1
10,0,22,35,133,271,689,400,2000,1
10,0,27,35,161,279,732,479,3094,1
10,0,27,35,156,279,710,435,3650,1
10,0,20,35,133,288,630,466,2000,1
98,0,500,35,568,140,1415,400,2000,1
82,0,500,35,483,132,1255,400,2000,1
93,0,500,35,626,121,1415,400,2000,1
89,0,34,35,647,377,1018,400,2000,1
41,0,500,35,30,400,1147,1179,3002,1
10,0,8,35,30,20,125,869,2000,1
10,0,8,35,30,20,125,869,2000,1
10,0,8,35,30,20,125,1041,4055,1
10,0,8,35,30,20,125,1535,3386,1
14,0,8,35,30,20,125,1264,3236,1
10,0,8,35,30,20,125,834,2000,1
10,0,8,35,30,20,125,822,2000,1
10,0,8,35,30,20,125,999,3706,1
10,0,8,35,30,20,125,1472,3140,1
17,0,8,35,30,20,125,1514,3188,1
26,4,88,35,35,22,185,574,3002,1
13,4,104,35,39,20,190,558,2469,1
29,7,123,35,30,20,196,606,4574,1
18,7,123,35,40,29,228,606,3995,1
16,5,128,35,43,25,228,574,2622,1
13,4,104,35,39,20,185,543,2124,1
21,6,113,35,30,22,179,550,4055,1
22,7,123,35,41,30,234,623,4117,1
24,6,139,35,44,35,264,641,4438,1
17,5,133,35,44,26,234,590,2360,1
111,0,128,35,54,75,427,535,9000,1
279,1,81,35,61,35,496,566,9000,1
433,1,72,35,70,34,649,582,9000,1
516,1,72,35,82,34,732,598,9000,1
800,0,72,35,117,35,1218,606,9000,1
10,0,8,35,30,20,125,400,2000,1
10,0,10,35,30,110,221,400,2092,1
10,0,8,35,30,20,125,400,2000,1
800,0,500,35,760,400,2500,400,2000,1
800,0,500,35,760,400,2500,400,2000,1
